CpG,Module,Strategy
cg00006081,1,median
cg00012522,1,median
cg00018845,1,median
cg00024086,1,median
cg00027083,1,median
cg00030047,1,median
cg00037441,1,median
cg00065905,1,median
cg00078318,1,median
cg00089091,1,median
cg00094518,1,median
cg00100800,1,median
cg00107187,1,median
cg00107772,1,median
cg00123055,1,median
cg00127167,1,median
cg00144186,1,median
cg00145253,1,median
cg00154357,1,median
cg00157668,1,median
cg00174428,1,median
cg00177388,1,median
cg00178249,1,median
cg00181834,1,median
cg00214791,1,median
cg00228017,1,median
cg00232735,1,median
cg00247557,1,median
cg00254886,1,median
cg00255368,1,median
cg00260802,1,median
cg00295572,1,median
cg00310215,1,median
cg00323305,1,median
cg00333226,1,median
cg00343312,1,median
cg00345443,1,median
cg00346208,1,median
cg00373707,1,median
cg00376544,1,median
cg00384539,1,median
cg00388812,1,median
cg00390775,1,median
cg00421139,1,median
cg00466334,1,median
cg00468146,1,median
cg00469856,1,median
cg00470955,1,median
cg00474746,1,median
cg00490655,1,median
cg00495775,1,median
cg00503383,1,median
cg00529958,1,median
cg00558156,1,median
cg00565688,1,median
cg00569447,1,median
cg00578032,1,median
cg00579520,1,median
cg00582971,1,median
cg00619126,1,median
cg00620733,1,median
cg00637687,1,median
cg00642749,1,median
cg00644823,1,median
cg00654888,1,median
cg00663972,1,median
cg00674365,1,median
cg00688962,1,median
cg00688963,1,median
cg00699993,1,median
cg00735667,1,median
cg00736523,1,median
cg00741624,1,median
cg00745389,1,median
cg00745725,1,median
cg00750523,1,median
cg00764612,1,median
cg00794881,1,median
cg00800512,1,median
cg00804628,1,median
cg00812438,1,median
cg00812833,1,median
cg00824018,1,median
cg00824767,1,median
cg00858840,1,median
cg00873050,1,median
cg00875989,1,median
cg00884093,1,median
cg00887814,1,median
cg00910882,1,median
cg00911794,1,median
cg00912625,1,median
cg00922781,1,median
cg00939495,1,median
cg00950846,1,median
cg00952322,1,median
cg00960305,1,median
cg00960552,1,median
cg00970396,1,median
cg00998438,1,median
cg01003961,1,median
cg01007828,1,median
cg01013590,1,median
cg01026458,1,median
cg01032675,1,median
cg01068944,1,median
cg01069941,1,median
cg01080998,1,median
cg01106338,1,median
cg01138867,1,median
cg01150683,1,median
cg01151966,1,median
cg01158822,1,median
cg01162672,1,median
cg01168235,1,median
cg01184975,1,median
cg01201519,1,median
cg01202666,1,median
cg01220680,1,median
cg01247628,1,median
cg01253508,1,median
cg01255414,1,median
cg01276475,1,median
cg01281285,1,median
cg01283246,1,median
cg01294808,1,median
cg01296360,1,median
cg01302656,1,median
cg01315916,1,median
cg01342746,1,median
cg01345315,1,median
cg01352175,1,median
cg01366419,1,median
cg01373911,1,median
cg01382110,1,median
cg01384488,1,median
cg01396587,1,median
cg01405040,1,median
cg01405761,1,median
cg01410472,1,median
cg01422881,1,median
cg01434649,1,median
cg01436998,1,median
cg01440841,1,median
cg01449136,1,median
cg01449663,1,median
cg01460227,1,median
cg01460436,1,median
cg01464052,1,median
cg01472299,1,median
cg01501551,1,median
cg01537995,1,median
cg01541645,1,median
cg01543603,1,median
cg01557027,1,median
cg01566526,1,median
cg01582980,1,median
cg01587896,1,median
cg01588388,1,median
cg01602690,1,median
cg01610488,1,median
cg01610605,1,median
cg01610632,1,median
cg01615704,1,median
cg01625087,1,median
cg01663016,1,median
cg01663725,1,median
cg01664666,1,median
cg01690182,1,median
cg01692233,1,median
cg01693026,1,median
cg01718116,1,median
cg01718742,1,median
cg01734112,1,median
cg01758512,1,median
cg01759562,1,median
cg01770755,1,median
cg01783070,1,median
cg01794676,1,median
cg01811325,1,median
cg01839464,1,median
cg01851450,1,median
cg01852585,1,median
cg01860328,1,median
cg01867395,1,median
cg01898698,1,median
cg01906015,1,median
cg01915516,1,median
cg01916333,1,median
cg01923218,1,median
cg01927745,1,median
cg01935149,1,median
cg01937793,1,median
cg01938650,1,median
cg01939453,1,median
cg01942127,1,median
cg01942962,1,median
cg02005147,1,median
cg02008154,1,median
cg02010196,1,median
cg02017282,1,median
cg02017926,1,median
cg02044223,1,median
cg02048412,1,median
cg02055132,1,median
cg02071005,1,median
cg02081733,1,median
cg02093112,1,median
cg02096397,1,median
cg02102103,1,median
cg02106850,1,median
cg02119348,1,median
cg02146857,1,median
cg02154186,1,median
cg02165099,1,median
cg02165355,1,median
cg02167438,1,median
cg02172150,1,median
cg02172312,1,median
cg02222728,1,median
cg02225716,1,median
cg02232208,1,median
cg02241055,1,median
cg02243785,1,median
cg02268229,1,median
cg02272993,1,median
cg02300154,1,median
cg02305853,1,median
cg02311414,1,median
cg02318784,1,median
cg02322373,1,median
cg02327997,1,median
cg02333852,1,median
cg02336521,1,median
cg02344833,1,median
cg02347074,1,median
cg02352240,1,median
cg02360199,1,median
cg02374745,1,median
cg02390209,1,median
cg02397768,1,median
cg02400433,1,median
cg02409108,1,median
cg02423064,1,median
cg02429459,1,median
cg02442436,1,median
cg02446647,1,median
cg02456226,1,median
cg02456288,1,median
cg02463418,1,median
cg02487453,1,median
cg02493644,1,median
cg02509825,1,median
cg02523640,1,median
cg02523844,1,median
cg02530437,1,median
cg02532096,1,median
cg02547394,1,median
cg02557695,1,median
cg02571816,1,median
cg02582387,1,median
cg02623400,1,median
cg02630214,1,median
cg02640260,1,median
cg02649597,1,median
cg02656891,1,median
cg02662277,1,median
cg02662828,1,median
cg02681442,1,median
cg02690638,1,median
cg02741521,1,median
cg02742906,1,median
cg02745211,1,median
cg02746381,1,median
cg02801786,1,median
cg02816816,1,median
cg02824202,1,median
cg02825171,1,median
cg02829688,1,median
cg02831267,1,median
cg02838178,1,median
cg02874376,1,median
cg02908900,1,median
cg02914422,1,median
cg02919422,1,median
cg02923706,1,median
cg02928699,1,median
cg02935338,1,median
cg02938414,1,median
cg02940165,1,median
cg02990869,1,median
cg02994956,1,median
cg03014628,1,median
cg03026462,1,median
cg03031959,1,median
cg03032098,1,median
cg03044249,1,median
cg03070297,1,median
cg03074925,1,median
cg03091551,1,median
cg03106958,1,median
cg03109101,1,median
cg03117976,1,median
cg03129384,1,median
cg03146949,1,median
cg03160135,1,median
cg03167683,1,median
cg03171770,1,median
cg03178798,1,median
cg03182113,1,median
cg03190219,1,median
cg03192598,1,median
cg03200166,1,median
cg03209642,1,median
cg03209854,1,median
cg03229780,1,median
cg03237648,1,median
cg03242819,1,median
cg03244696,1,median
cg03250019,1,median
cg03251079,1,median
cg03260566,1,median
cg03287574,1,median
cg03293015,1,median
cg03323696,1,median
cg03325733,1,median
cg03332469,1,median
cg03340466,1,median
cg03340649,1,median
cg03342498,1,median
cg03354992,1,median
cg03355526,1,median
cg03357798,1,median
cg03365733,1,median
cg03428864,1,median
cg03437157,1,median
cg03450948,1,median
cg03456938,1,median
cg03465861,1,median
cg03469054,1,median
cg03475665,1,median
cg03496114,1,median
cg03496122,1,median
cg03499808,1,median
cg03506640,1,median
cg03509106,1,median
cg03512426,1,median
cg03524083,1,median
cg03544320,1,median
cg03547745,1,median
cg03553587,1,median
cg03555227,1,median
cg03574723,1,median
cg03599078,1,median
cg03602280,1,median
cg03606215,1,median
cg03607115,1,median
cg03609960,1,median
cg03696599,1,median
cg03701992,1,median
cg03705912,1,median
cg03724990,1,median
cg03727202,1,median
cg03730428,1,median
cg03734874,1,median
cg03753331,1,median
cg03774514,1,median
cg03782157,1,median
cg03790250,1,median
cg03793270,1,median
cg03817667,1,median
cg03881775,1,median
cg03893271,1,median
cg03900143,1,median
cg03925294,1,median
cg03945902,1,median
cg03964958,1,median
cg03968755,1,median
cg03986829,1,median
cg03992259,1,median
cg03994318,1,median
cg04005707,1,median
cg04008901,1,median
cg04021697,1,median
cg04024095,1,median
cg04025150,1,median
cg04038179,1,median
cg04059568,1,median
cg04075191,1,median
cg04079301,1,median
cg04100532,1,median
cg04127342,1,median
cg04143876,1,median
cg04200224,1,median
cg04222358,1,median
cg04228468,1,median
cg04267526,1,median
cg04293085,1,median
cg04326854,1,median
cg04339613,1,median
cg04347874,1,median
cg04360793,1,median
cg04397433,1,median
cg04402007,1,median
cg04415599,1,median
cg04418492,1,median
cg04432319,1,median
cg04435546,1,median
cg04450459,1,median
cg04454086,1,median
cg04467618,1,median
cg04517323,1,median
cg04521004,1,median
cg04525757,1,median
cg04529370,1,median
cg04536893,1,median
cg04567445,1,median
cg04594598,1,median
cg04595562,1,median
cg04596004,1,median
cg04597433,1,median
cg04598121,1,median
cg04606861,1,median
cg04609576,1,median
cg04612444,1,median
cg04641171,1,median
cg04643822,1,median
cg04652097,1,median
cg04654288,1,median
cg04664153,1,median
cg04671611,1,median
cg04733537,1,median
cg04738965,1,median
cg04745161,1,median
cg04759648,1,median
cg04773818,1,median
cg04784672,1,median
cg04792712,1,median
cg04837025,1,median
cg04842426,1,median
cg04845649,1,median
cg04858155,1,median
cg04861929,1,median
cg04899175,1,median
cg04913979,1,median
cg04919274,1,median
cg04928005,1,median
cg04935449,1,median
cg04949206,1,median
cg04950301,1,median
cg04961466,1,median
cg04965050,1,median
cg04969688,1,median
cg04974290,1,median
cg04983516,1,median
cg04991036,1,median
cg04991805,1,median
cg05044185,1,median
cg05048976,1,median
cg05057720,1,median
cg05062333,1,median
cg05080154,1,median
cg05128922,1,median
cg05142982,1,median
cg05168977,1,median
cg05179846,1,median
cg05184377,1,median
cg05191076,1,median
cg05201970,1,median
cg05204798,1,median
cg05209584,1,median
cg05236677,1,median
cg05237641,1,median
cg05266781,1,median
cg05299793,1,median
cg05302338,1,median
cg05337137,1,median
cg05350411,1,median
cg05361559,1,median
cg05371578,1,median
cg05374654,1,median
cg05378938,1,median
cg05380982,1,median
cg05383490,1,median
cg05402131,1,median
cg05440435,1,median
cg05446424,1,median
cg05491001,1,median
cg05500840,1,median
cg05501996,1,median
cg05502701,1,median
cg05520409,1,median
cg05533124,1,median
cg05543049,1,median
cg05549854,1,median
cg05595345,1,median
cg05602862,1,median
cg05608777,1,median
cg05637536,1,median
cg05638174,1,median
cg05646686,1,median
cg05667379,1,median
cg05668372,1,median
cg05670348,1,median
cg05686497,1,median
cg05724871,1,median
cg05732750,1,median
cg05733135,1,median
cg05733181,1,median
cg05736768,1,median
cg05756220,1,median
cg05759718,1,median
cg05764376,1,median
cg05764628,1,median
cg05768427,1,median
cg05769169,1,median
cg05771369,1,median
cg05784157,1,median
cg05787556,1,median
cg05789711,1,median
cg05798720,1,median
cg05863502,1,median
cg05895545,1,median
cg05903444,1,median
cg05908587,1,median
cg05924485,1,median
cg05924652,1,median
cg05926722,1,median
cg05931096,1,median
cg05937737,1,median
cg05942128,1,median
cg05951860,1,median
cg05983315,1,median
cg06000883,1,median
cg06000994,1,median
cg06020207,1,median
cg06049781,1,median
cg06056415,1,median
cg06062984,1,median
cg06076277,1,median
cg06091013,1,median
cg06095270,1,median
cg06103746,1,median
cg06139341,1,median
cg06139908,1,median
cg06149302,1,median
cg06158650,1,median
cg06169131,1,median
cg06187947,1,median
cg06200092,1,median
cg06202228,1,median
cg06232807,1,median
cg06258780,1,median
cg06265277,1,median
cg06268694,1,median
cg06271970,1,median
cg06288251,1,median
cg06335867,1,median
cg06352730,1,median
cg06365535,1,median
cg06374307,1,median
cg06383163,1,median
cg06391468,1,median
cg06401021,1,median
cg06410746,1,median
cg06411724,1,median
cg06424065,1,median
cg06425919,1,median
cg06444755,1,median
cg06462796,1,median
cg06469345,1,median
cg06482428,1,median
cg06492708,1,median
cg06498267,1,median
cg06510074,1,median
cg06525651,1,median
cg06547959,1,median
cg06553312,1,median
cg06564388,1,median
cg06567373,1,median
cg06570224,1,median
cg06577205,1,median
cg06584494,1,median
cg06598836,1,median
cg06602847,1,median
cg06617456,1,median
cg06619066,1,median
cg06622151,1,median
cg06622999,1,median
cg06629130,1,median
cg06634716,1,median
cg06638795,1,median
cg06647751,1,median
cg06648277,1,median
cg06650419,1,median
cg06653045,1,median
cg06659727,1,median
cg06662812,1,median
cg06667761,1,median
cg06668555,1,median
cg06674731,1,median
cg06676637,1,median
cg06704122,1,median
cg06713632,1,median
cg06719900,1,median
cg06724588,1,median
cg06733419,1,median
cg06758591,1,median
cg06763054,1,median
cg06765217,1,median
cg06766427,1,median
cg06776999,1,median
cg06782035,1,median
cg06806958,1,median
cg06808751,1,median
cg06809544,1,median
cg06822816,1,median
cg06825039,1,median
cg06831576,1,median
cg06833732,1,median
cg06849504,1,median
cg06850283,1,median
cg06875227,1,median
cg06899953,1,median
cg06906472,1,median
cg06942701,1,median
cg06966811,1,median
cg06973234,1,median
cg06987468,1,median
cg07012926,1,median
cg07015629,1,median
cg07016184,1,median
cg07021644,1,median
cg07027430,1,median
cg07028914,1,median
cg07029873,1,median
cg07035165,1,median
cg07055616,1,median
cg07057579,1,median
cg07060233,1,median
cg07060551,1,median
cg07065111,1,median
cg07072366,1,median
cg07077013,1,median
cg07094915,1,median
cg07095995,1,median
cg07103129,1,median
cg07131533,1,median
cg07135032,1,median
cg07135446,1,median
cg07135614,1,median
cg07136998,1,median
cg07137845,1,median
cg07143083,1,median
cg07149609,1,median
cg07150445,1,median
cg07152216,1,median
cg07157830,1,median
cg07176264,1,median
cg07190535,1,median
cg07194093,1,median
cg07201620,1,median
cg07203423,1,median
cg07204550,1,median
cg07206208,1,median
cg07208703,1,median
cg07212778,1,median
cg07254032,1,median
cg07271264,1,median
cg07271394,1,median
cg07274618,1,median
cg07279070,1,median
cg07293584,1,median
cg07300060,1,median
cg07314829,1,median
cg07355841,1,median
cg07357300,1,median
cg07357987,1,median
cg07382454,1,median
cg07382920,1,median
cg07408835,1,median
cg07441518,1,median
cg07442479,1,median
cg07489048,1,median
cg07489890,1,median
cg07502439,1,median
cg07519816,1,median
cg07536910,1,median
cg07540103,1,median
cg07544187,1,median
cg07552707,1,median
cg07565505,1,median
cg07581732,1,median
cg07603330,1,median
cg07622493,1,median
cg07622996,1,median
cg07636295,1,median
cg07639287,1,median
cg07665387,1,median
cg07671776,1,median
cg07684796,1,median
cg07697895,1,median
cg07733446,1,median
cg07737781,1,median
cg07738439,1,median
cg07746943,1,median
cg07758738,1,median
cg07777349,1,median
cg07780095,1,median
cg07788092,1,median
cg07792478,1,median
cg07846220,1,median
cg07848601,1,median
cg07850527,1,median
cg07870999,1,median
cg07892295,1,median
cg07892422,1,median
cg07892785,1,median
cg07897690,1,median
cg07903370,1,median
cg07918545,1,median
cg07924081,1,median
cg07928073,1,median
cg07953890,1,median
cg07967679,1,median
cg07973435,1,median
cg07995179,1,median
cg08000065,1,median
cg08002883,1,median
cg08004278,1,median
cg08009211,1,median
cg08013557,1,median
cg08023265,1,median
cg08044097,1,median
cg08057103,1,median
cg08065657,1,median
cg08068240,1,median
cg08085357,1,median
cg08085954,1,median
cg08087868,1,median
cg08095852,1,median
cg08117309,1,median
cg08119884,1,median
cg08120263,1,median
cg08122140,1,median
cg08139247,1,median
cg08141424,1,median
cg08146483,1,median
cg08152546,1,median
cg08165221,1,median
cg08183141,1,median
cg08184652,1,median
cg08185241,1,median
cg08186362,1,median
cg08190928,1,median
cg08194879,1,median
cg08204280,1,median
cg08211028,1,median
cg08231493,1,median
cg08233654,1,median
cg08234308,1,median
cg08235864,1,median
cg08244866,1,median
cg08251037,1,median
cg08258526,1,median
cg08263071,1,median
cg08272731,1,median
cg08288811,1,median
cg08305436,1,median
cg08315202,1,median
cg08336641,1,median
cg08363794,1,median
cg08376141,1,median
cg08421685,1,median
cg08422599,1,median
cg08432727,1,median
cg08441170,1,median
cg08441806,1,median
cg08445263,1,median
cg08448701,1,median
cg08475096,1,median
cg08475953,1,median
cg08476224,1,median
cg08478039,1,median
cg08482531,1,median
cg08488841,1,median
cg08490115,1,median
cg08509172,1,median
cg08510264,1,median
cg08512167,1,median
cg08523865,1,median
cg08572611,1,median
cg08586541,1,median
cg08621843,1,median
cg08638184,1,median
cg08641579,1,median
cg08658787,1,median
cg08668551,1,median
cg08681855,1,median
cg08690859,1,median
cg08697503,1,median
cg08712932,1,median
cg08719869,1,median
cg08734740,1,median
cg08754967,1,median
cg08767286,1,median
cg08795964,1,median
cg08812189,1,median
cg08812555,1,median
cg08812889,1,median
cg08825837,1,median
cg08832906,1,median
cg08855288,1,median
cg08859095,1,median
cg08874609,1,median
cg08886823,1,median
cg08889336,1,median
cg08892370,1,median
cg08917478,1,median
cg08965888,1,median
cg08975803,1,median
cg08979319,1,median
cg09009536,1,median
cg09016242,1,median
cg09017434,1,median
cg09021626,1,median
cg09042277,1,median
cg09059319,1,median
cg09077934,1,median
cg09082287,1,median
cg09082903,1,median
cg09141965,1,median
cg09142313,1,median
cg09152582,1,median
cg09155219,1,median
cg09199698,1,median
cg09208611,1,median
cg09226262,1,median
cg09232937,1,median
cg09295081,1,median
cg09307530,1,median
cg09313439,1,median
cg09322259,1,median
cg09338032,1,median
cg09366312,1,median
cg09382127,1,median
cg09388605,1,median
cg09424759,1,median
cg09438147,1,median
cg09441363,1,median
cg09442654,1,median
cg09444637,1,median
cg09445939,1,median
cg09469566,1,median
cg09472360,1,median
cg09473315,1,median
cg09484039,1,median
cg09489306,1,median
cg09493505,1,median
cg09495418,1,median
cg09500672,1,median
cg09515953,1,median
cg09543255,1,median
cg09559021,1,median
cg09559189,1,median
cg09578475,1,median
cg09601175,1,median
cg09614415,1,median
cg09623400,1,median
cg09626894,1,median
cg09643544,1,median
cg09656389,1,median
cg09659227,1,median
cg09685182,1,median
cg09688546,1,median
cg09714778,1,median
cg09765089,1,median
cg09767822,1,median
cg09774917,1,median
cg09793172,1,median
cg09797337,1,median
cg09805010,1,median
cg09838285,1,median
cg09854317,1,median
cg09858188,1,median
cg09874822,1,median
cg09880551,1,median
cg09887059,1,median
cg09896412,1,median
cg09907509,1,median
cg09935282,1,median
cg09983897,1,median
cg09989644,1,median
cg10023530,1,median
cg10028217,1,median
cg10039188,1,median
cg10056132,1,median
cg10087973,1,median
cg10088491,1,median
cg10092878,1,median
cg10095242,1,median
cg10111115,1,median
cg10121601,1,median
cg10127275,1,median
cg10127483,1,median
cg10132208,1,median
cg10137084,1,median
cg10150592,1,median
cg10151367,1,median
cg10158541,1,median
cg10166283,1,median
cg10168149,1,median
cg10177394,1,median
cg10182317,1,median
cg10223225,1,median
cg10235355,1,median
cg10239388,1,median
cg10266211,1,median
cg10269365,1,median
cg10269548,1,median
cg10282162,1,median
cg10294822,1,median
